date&time,age,gender,Places ,recommendation,rate,factors,how often ,when,money_spend,effect
4/8/2026 14:46:48,22+,Male,Restaurant (casual dining) ·,Shawrma,Slightly expensive ·,Price,Once a week,At night,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 14:53:00,18-22,Female,Arcade / bowling / activity venue,,Slightly expensive ·,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"Yes, I enjoy it more because it felt worth it."
4/8/2026 14:57:56,22+,Male,Café / coffee shop,Cafe,Fair / reasonable,Location / distance,A few times a week,In the afternoon,200 or less,"No, price didn’t affect my enjoyment."
4/8/2026 15:08:04,18-22,Female,Park / outdoor public space,,Fair / reasonable,Quality of food / drinks,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 15:17:17,22+,Female,Café / coffee shop,Cafe,Fair / reasonable,Quality of food / drinks,A few times a month,At night,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 15:18:01,22+,Male,Restaurant (fine dining),,Fair / reasonable,Atmosphere / vibe,Once a week,In the afternoon,200 or less,"Yes, I enjoy it less because of cost ·"
4/8/2026 15:21:04,22+,Female,Café / coffee shop,Cinema ,Slightly expensive ·,Atmosphere / vibe,A few times a month,In the morning,600-900,"No, price didn’t affect my enjoyment."
4/8/2026 16:39:16,18-22,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the morning,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 16:49:59,22+,Male,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a week,At night,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 17:03:03,18-22,Female,Museum / gallery / cultural venue,,Very cheap,Atmosphere / vibe,A few times a month,In the morning,200 or less,"No, price didn’t affect my enjoyment."
4/8/2026 18:08:48,18-22,Female,Park / outdoor public space,,Fair / reasonable,Quality of food / drinks,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 18:24:37,18-22,Female,Restaurant (casual dining) ·,,Fair / reasonable,Service quality,Rarely,In the afternoon,300-500,"Yes, I enjoy it more because it felt worth it."
4/8/2026 18:25:13,18-22,Female,Movie theater / cinema,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the morning,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 18:26:09,22+,Male,Arcade / bowling / activity venue,,Slightly expensive,Atmosphere / vibe,Once a week,In the afternoon,600-900,"Yes, I enjoy it more because it felt worth it."
4/8/2026 18:27:19,18-22,Female,Café / coffee shop,,Fair / reasonable,Location / distance,A few times a month,At night,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 18:28:06,18-22,Female,Museum / gallery / cultural venue,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the morning,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 18:29:40,Under 18,Male,Park / outdoor public space,Park,Very cheap,Atmosphere / vibe,Daily,In the morning,200 or less,"No, price didn’t affect my enjoyment."
4/8/2026 19:37:52,18-22,Female,Café / coffee shop,Cilantro maybe,Fair / reasonable,Price,Rarely,In the morning,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 20:25:43,18-22,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the morning,600-900,"No, price didn’t affect my enjoyment."
4/8/2026 20:32:28,18-22,Female,Arcade / bowling / activity venue,Zayed / October / Zamalek,Slightly expensive,All,A few times a month,In the afternoon,600-900,Depending on
4/8/2026 21:31:05,18-22,Female,Restaurant (fine dining),,Slightly expensive,Activities available,A few times a month,In the morning,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 21:52:59,18-22,Female,Café / coffee shop,,Slightly expensive,Price,A few times a month,In the morning,600-900,"Yes, I enjoy it less because of cost ·"
4/9/2026 0:18:31,18-22,Female,Café / coffee shop,Cilantro ,Fair / reasonable,Quality of food / drinks,Once a week,In the morning,300-500,"No, price didn’t affect my enjoyment."
4/9/2026 12:40:51,18-22,Female,Arcade / bowling / activity venue,Dailydose,Fair / reasonable,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
